"","hhid","intmonth","stfips","weight","earnwke","uhours","grade92","race","ethnic","age","sex","marital","ownchild","chldpres","prcitshp","state","ind02","occ2012","class","unionmme","unioncov","lfsr94"
"7673",80168005213390,"January","ID",1254.8873,480,40,43,1,NA,39,1,1,2,8,"Native, Born In US","82","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"7750",40421370996694,"January","IL",3623.7808,1045,55,40,1,NA,51,1,1,0,0,"Native, Born In US","IL","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"7784",271381037900399,"January","IL",2723.3196,576.8,40,39,1,NA,42,2,4,2,10,"Native, Born In US","IL","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"8133",260178000213820,"January","IL",2391.7198,961.53,40,39,1,NA,42,1,7,0,0,"Native, Born In US","IL","Other general government and support (92119)",9130,"Government - Local","No","No","Employed-At Work"
"8148",303907191873637,"January","IL",2531.2913,330,40,40,1,NA,29,1,7,0,0,"Native, Born In US","IL","** Recyclable material, merchant wholesalers (*42393)",9130,"Private, For Profit","No","No","Employed-At Work"
"8178",310709932663389,"January","IL",3480.129,1747.4,45,39,1,NA,58,1,1,0,0,"Native, Born In US","IL","Waste management and remediation services (562)",9130,"Private, For Profit","Yes","","Employed-At Work"
"8227",571074037001302,"January","IL",3431.71,1416,58,39,1,NA,52,1,1,0,0,"Native, Born In US","IL","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"8349",933027781137930,"January","IL",3130.7385,500,40,42,1,NA,62,1,1,0,0,"Native, Born In US","IL","**Newspaper publishers (51111)",9130,"Private, For Profit","No","No","Employed-At Work"
"8374",960017409178390,"January","IL",2578.5134,350,10,39,1,NA,33,1,7,0,0,"Foreign Born, US Cit By Naturalization","IL","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"8492",966017934139780,"January","IL",3490.9116,700,50,39,1,NA,50,1,1,0,0,"Native, Born In US","IL","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"8508",43391370999891,"January","IL",3623.7808,411.18,42,40,1,NA,50,1,7,0,0,"Native, Born In US","IL","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"8642",780981095113249,"January","IN",2999.3445,680,40,39,1,NA,52,1,5,0,0,"Native, Born In US","IN","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"8894",938219230929101,"January","IN",2971.3809,680,40,39,1,NA,47,1,1,0,0,"Native, Born In US","IN","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"8970",978078945179670,"January","IN",3153.3098,680,40,42,1,NA,42,1,5,0,0,"Native, Born In US","IN","Colleges and universities, including junior colleges (6112, 6113)",9130,"Government - State","No","No","Employed-At Work"
"8971",978078945179670,"January","IN",4011.8445,232,32,39,1,NA,24,1,7,0,0,"Native, Born In US","IN","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"9126",84311390994691,"January","IA",1503.3902,576.92,40,39,1,NA,56,1,1,0,0,"Native, Born In US","IA","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"9167",710079926179720,"January","IA",1131.2079,680,50,40,1,NA,34,1,1,5,10,"Native, Born In US","IA","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"9298",23041790691548,"January","IA",1415.5333,720,45,36,1,NA,50,1,1,0,0,"Native, Born In US","IA","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"9324",191397067908192,"January","IA",1458.2467,500,75,39,1,NA,46,1,1,2,3,"Native, Born In US","IA","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"9560",240904096627889,"January","KS",1366.0577,684.4,40,39,1,NA,50,1,5,0,0,"Native, Born In US","47","Waste management and remediation services (562)",9130,"Government - Local","No","No","Employed-At Work"
"9623",52252300994695,"January","KS",1710.0005,684.4,40,39,1,NA,36,1,7,0,0,"Native, Born In US","47","** Petroleum and petroleum products, merchant wholesalers (*4247)",9130,"Private, For Profit","No","No","Employed-At Work"
"9629",65522700690598,"January","KS",1440.5742,576,40,39,1,NA,55,1,3,0,0,"Native, Born In US","47","Support activities for mining (213)",9130,"Private, For Profit","No","No","Employed-At Work"
"9742",990459730899201,"January","KS",1541.0059,500,40,39,1,NA,33,1,1,2,2,"Native, Born In US","47","Waste management and remediation services (562)",9130,"Government - Local","No","No","Employed-Absent"
"9800",720107990730389,"January","KY",1735.6203,480,40,40,2,NA,32,1,1,1,3,"Native, Born In US","61","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"9897",720100046449915,"January","KY",2358.315,499.6,40,39,1,NA,27,1,1,3,11,"Foreign Born, US Cit By Naturalization","61","Waste management and remediation services (562)",9130,"Government - State","Yes","","Employed-At Work"
"10238",37422320991290,"January","LA",3390.3011,538.46,40,39,1,NA,31,1,7,0,0,"Native, Born In US","72","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"10369",707003922109432,"January","LA",3267.8678,596,40,40,1,NA,44,1,1,2,3,"Native, Born In US","72","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"10461",261463005052329,"January","ME",614.9969,160,20,37,1,NA,64,1,1,0,0,"Native, Born In US","ME","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"10720",403108042109613,"January","ME",578.161,1346.15,70,39,1,NA,41,1,1,2,3,"Native, Born In US","ME","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"10764",655003955239560,"January","ME",688.2273,836,40,39,1,NA,35,1,1,0,0,"Native, Born In US","ME","Administration of economic programs and space research (926, 927)",9130,"Government - State","Yes","","Employed-At Work"
"10768",678261359300927,"January","ME",688.2273,900,50,39,1,NA,37,1,7,0,0,"Native, Born In US","ME","Drycleaning and laundry services (8123)",9130,"Private, For Profit","No","No","Employed-At Work"
"10786",720307953453483,"January","ME",604.8171,1155,53,40,1,NA,52,1,1,0,0,"Native, Born In US","ME","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"10791",740933064727239,"January","ME",652.4195,1380,60,39,1,NA,59,1,1,1,4,"Native, Born In US","ME","Industrial and miscellaneous chemicals (3251, 3259)",9130,"Private, For Profit","No","No","Employed-At Work"
"11079",277977208051498,"January","MD",1877.2417,1019.23,40,39,1,NA,57,1,5,0,0,"Native, Born Abroad Of US Parent(s)","52","Postal Service (491)",9130,"Government - Federal","Yes","","Employed-At Work"
"11096",296927909051488,"January","MD",1877.2417,769.23,40,39,1,NA,56,1,1,0,0,"Native, Born In US","52","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","Yes","","Employed-At Work"
"11285",720407922748385,"January","MD",1990.3875,200,20,39,1,NA,21,1,7,0,0,"Native, Born In US","52","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"11298",720409944503887,"January","MD",2051.6548,650,40,39,2,NA,56,1,7,0,0,"Native, Born In US","52","Furniture and home furnishings stores (442)",9130,"Private, For Profit","No","No","Employed-At Work"
"11314",729034946279940,"January","MD",1655.7396,960,40,39,1,NA,29,1,7,0,0,"Native, Born In US","52","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"11329",740942091923899,"January","MD",1877.2417,500,40,40,1,NA,58,1,1,0,0,"Native, Born In US","52","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"11359",860946077823129,"January","MD",2366.6739,600,40,39,2,NA,35,1,7,1,1,"Native, Born In US","52","** Alcoholic beverages, merchant wholesalers (*4248)",9130,"Private, For Profit","No","No","Employed-At Work"
"11572",941015747239820,"January","MA",5101.1669,650,40,39,2,4,64,1,1,0,0,"Foreign Born, US Cit By Naturalization","MA","Retail florists (4531)",9130,"Private, For Profit","No","No","Employed-At Work"
"11652",290993602030548,"January","MA",2928.3991,600,40,38,1,NA,53,1,1,1,4,"Native, Born In US","MA","Employment services (5613)",9130,"Private, For Profit","No","No","Employed-At Work"
"11929",100764094027709,"January","MI",4109.4314,880,50,39,2,NA,47,1,7,0,0,"Native, Born In US","MI","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"11971",340967098727919,"January","MI",3934.9062,961,40,40,2,NA,42,1,1,2,10,"Native, Born In US","MI","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"12161",320609972948612,"January","MI",3059.6088,807.69,40,39,1,NA,61,1,1,0,0,"Native, Born In US","MI","Iron and steel mills and steel product manufacturing (3311, 3312)",9130,"Private, For Profit","No","No","Employed-At Work"
"12362",699380957090972,"January","MI",3209.8117,900,60,40,1,NA,54,1,5,0,0,"Native, Born In US","MI","** Farm product raw materials, merchant wholesalers (*4245)",9130,"Private, For Profit","No","No","Employed-At Work"
"12399",956799930759200,"January","MI",3209.8117,1346,70,39,1,NA,53,1,5,0,0,"Native, Born In US","MI","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"12442",208057001060661,"January","MI",3263.9353,350,50,40,1,NA,31,1,5,3,3,"Native, Born In US","MI","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"12763",572234073908276,"January","MN",2105.3936,60,12,37,1,NA,18,1,7,0,0,"Native, Born In US","MN","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"12823",733037927239420,"January","MN",2017.4999,757.95,40,39,1,NA,30,1,7,0,0,"Native, Born In US","MN","Cement, concrete, lime, and gypsum product manufacturing (3273, 3274)",9130,"Private, For Profit","Yes","","Employed-At Work"
"12929",39802770796990,"January","MN",2002.6508,757.95,40,39,1,NA,32,1,7,0,0,"Native, Born In US","MN","Employment services (5613)",9130,"Private, For Profit","No","No","Employed-At Work"
"12972",430979069627429,"January","MN",1558.9333,390.8,40,39,1,NA,59,2,5,0,0,"Native, Born In US","MN","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"12979",662057930239340,"January","MN",2002.6508,700,40,41,1,NA,34,1,1,3,6,"Native, Born In US","MN","Metal ore mining (2122)",9130,"Private, For Profit","Yes","","Employed-At Work"
"13057",2202370798698,"January","MN",1522.4215,807,40,41,1,NA,60,1,1,0,0,"Native, Born In US","MN","Nonmetallic mineral mining and quarrying (2123)",9130,"Private, For Profit","Yes","","Employed-At Work"
"13315",908739570759207,"January","MS",2158.8372,350,40,40,2,NA,55,1,1,0,0,"Native, Born In US","64","Sawmills and wood preservation (3211)",9130,"Private, For Profit","No","No","Employed-At Work"
"13328",928609470696206,"January","MS",2074.7767,921,40,42,1,NA,44,1,4,0,0,"Native, Born In US","64","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"13364",293913601095828,"January","MS",1804.4943,800,40,39,1,NA,63,1,3,0,0,"Native, Born In US","64","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"13375",635291139800892,"January","MS",1815.591,807.69,70,39,1,NA,49,1,1,0,0,"Native, Born In US","64","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"13382",938859830719207,"January","MS",1904.7661,1495,65,39,1,NA,59,1,1,0,0,"Native, Born In US","64","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"13406",320909997277982,"January","MO",3208.2101,192.3,40,36,2,NA,41,2,1,0,0,"Native, Born In US","MO","Retail florists (4531)",9130,"Private, For Profit","No","No","Employed-At Work"
"13507",292230097001802,"January","MO",2432.7754,588,35,40,1,NA,41,1,1,2,10,"Native, Born In US","MO","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"13564",648009934239720,"January","MO",2925.4485,1000,75,39,1,NA,49,1,1,0,0,"Native, Born In US","MO","Truck transportation (484)",9130,"Private, For Profit","No","Yes","Employed-At Work"
"13678",160997094027909,"January","MO",2573.5932,770,50,39,1,NA,31,1,1,2,6,"Native, Born In US","MO","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"13753",999630313970672,"January","MO",2675.7305,469.92,48,39,1,NA,54,1,7,0,0,"Native, Born In US","MO","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"13764",999990398540632,"January","MO",2573.5932,540,40,39,1,NA,33,1,1,3,3,"Native, Born In US","MO","Nonmetallic mineral mining and quarrying (2123)",9130,"Private, For Profit","No","No","Employed-At Work"
"13830",90823700697293,"January","MT",984.9076,332,40,39,1,NA,24,2,5,1,2,"Native, Born In US","81","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"13938",16133700972290,"January","MT",1394.9662,1260,60,42,3,1,42,1,3,0,0,"Native, Born In US","81","Rail transportation (482)",9130,"Private, For Profit","No","No","Employed-At Work"
"14148",377953508013166,"January","NE",868.7718,760,45,42,1,NA,29,1,1,2,8,"Native, Born In US","46","Building material and supplies dealers (4441 exc. 44413)",9130,"Private, For Profit","No","No","Employed-At Work"
"14188",43243310798995,"January","NE",889.3724,800,50,39,1,NA,62,1,5,0,0,"Native, Born In US","46","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"14247",450914098433669,"January","NE",988.6264,900,44,37,1,NA,56,1,1,0,0,"Native, Born In US","46","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"14256",500915071533999,"January","NE",942.3421,720,40,39,1,NA,46,1,1,0,0,"Native, Born In US","46","Waste management and remediation services (562)",9130,"Government - Local","No","No","Employed-At Work"
"14272",707001939379890,"January","NE",988.6264,840,40,40,1,NA,58,1,1,0,0,"Native, Born In US","46","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"14313",941579230189303,"January","NE",936.5826,191,20,41,1,NA,63,1,5,0,0,"Native, Born In US","46","Services incidental to transportation (488)",9130,"Private, For Profit","No","No","Employed-At Work"
"14372",330107994473385,"January","NE",945.5382,381.75,35,43,1,NA,36,1,7,0,0,"Native, Born In US","46","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"14392",730100094473315,"January","NE",889.2153,133,20,39,1,NA,19,1,7,0,0,"Native, Born In US","46","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"14819",972819270947309,"January","NV",1405.3749,865.38,40,39,1,NA,53,1,1,0,0,"Native, Born In US","88","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"14902",390953207019355,"January","NH",458.8232,760,45,39,1,NA,60,1,1,0,0,"Native, Born In US","NH","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"15431",14453340995894,"January","NJ",3791.1427,350,40,39,2,NA,59,1,1,0,0,"Native, Born In US","NJ","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"15502",330409903206682,"January","NJ",3218.1596,1000,40,40,1,NA,63,1,1,0,0,"Native, Born In US","NJ","Miscellaneous general merchandise stores (4529)",9130,"Private, For Profit","No","Yes","Employed-At Work"
"15603",499150605600973,"January","NJ",3313.4713,980,50,39,2,NA,53,1,1,0,0,"Native, Born In US","NJ","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"15695",750944097737639,"January","NJ",3965.6914,1000,40,39,4,NA,60,1,1,0,0,"Native, Born In US","NJ","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"15737",924379670259304,"January","NJ",3149.1315,769.23,40,43,1,NA,52,1,1,0,0,"Native, Born In US","NJ","** Miscellaneous durable goods, merchant wholesalers (*4239 exc. 42393)",9130,"Private, For Profit","No","No","Employed-At Work"
"15805",984749430359309,"January","NJ",3396.9856,384.61,20,40,1,NA,59,1,6,0,0,"Native, Born In US","NJ","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"15810",991044989379270,"January","NJ",6086.8665,720,40,43,4,NA,37,1,1,3,11,"Foreign Born, Not a US Citizen","NJ","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"15837",643905013001708,"January","NJ",3396.9856,1250,40,39,1,NA,57,1,1,0,0,"Native, Born In US","NJ","Building material and supplies dealers (4441 exc. 44413)",9130,"Private, For Profit","No","No","Employed-At Work"
"16025",750954067737639,"January","NM",1703.8607,596,40,39,1,8,51,1,1,0,0,"Native, Born In US","85","Cement, concrete, lime, and gypsum product manufacturing (3273, 3274)",9130,"Private, For Profit","No","No","Employed-At Work"
"16086",951005921379860,"January","NM",2154.2358,1000,50,39,1,NA,38,1,6,0,0,"Native, Born In US","85","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"16217",303908293593816,"January","NY",3816.8002,1400,50,40,2,NA,46,1,1,3,14,"Foreign Born, Not a US Citizen","NY","Gasoline stations (447)",9130,"Private, For Profit","Yes","","Employed-At Work"
"16345",407909513598726,"January","NY",5777.0962,384,35,39,4,NA,26,1,1,0,0,"Foreign Born, Not a US Citizen","NY","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","Yes","","Employed-At Work"
"16363",437396359600308,"January","NY",3371.2056,192,24,36,4,NA,41,1,1,2,3,"Foreign Born, Not a US Citizen","NY","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"16400",563400087908599,"January","NY",3269.1611,350,50,41,1,NA,31,1,1,1,2,"Foreign Born, US Cit By Naturalization","NY","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"16468",699730894630973,"January","NY",4598.0274,650,40,37,2,4,42,1,7,2,5,"Foreign Born, US Cit By Naturalization","NY","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","Yes","","Employed-At Work"
"16483",707906563692776,"January","NY",3513.2479,320,40,39,1,NA,23,1,7,0,0,"Native, Born In US","NY","Libraries and archives (*51912)",9130,"Private, For Profit","No","No","Employed-At Work"
